sample,latitude,longitude,dist_coast,dist_ocean,elevation
SRR16996404,-74.76804444,164.0160222,173.3725989,173.3725989,-15.0546875
SRR16996405,-74.76804444,164.0160222,173.3725989,173.3725989,-15.0546875
SRR16996406,-74.76804444,164.0160222,173.3725989,173.3725989,-15.0546875
SRR16996407,-74.76804444,164.0160222,173.3725989,173.3725989,-15.0546875
SRR16996408,-74.76804444,164.0160222,173.3725989,173.3725989,-15.0546875
SRR16996409,-62.185,-58.9775,140.8486045,140.8486045,65.3828125
SRR16996410,-74.76804444,164.0160222,173.3725989,173.3725989,-15.0546875
SRR16996411,-74.76804444,164.0160222,173.3725989,173.3725989,-15.0546875
SRR16996412,-74.76804444,164.0160222,173.3725989,173.3725989,-15.0546875
SRR16996413,-74.76804444,164.0160222,173.3725989,173.3725989,-15.0546875
SRR16996414,-74.76804444,164.0160222,173.3725989,173.3725989,-15.0546875
SRR16996415,-74.76804444,164.0160222,173.3725989,173.3725989,-15.0546875
SRR16996416,-72.3166654,170.2666656,250.914482,250.914482,124.6640625
SRR16996417,-72.3166654,170.2666656,250.914482,250.914482,124.6640625
SRR16996418,-72.3166654,170.2666656,250.914482,250.914482,124.6640625
SRR16996419,-72.3166654,170.2666656,250.914482,250.914482,124.6640625
SRR16996420,-62.17972222,-58.91861111,1316.156233,1316.156233,72.5390625
SRR16996421,-72.3166654,170.2666656,250.914482,250.914482,124.6640625
SRR16996422,-72.3166654,170.2666656,250.914482,250.914482,124.6640625
SRR16996423,-72.3166654,170.2666656,250.914482,250.914482,124.6640625
SRR16996424,-72.3166654,170.2666656,250.914482,250.914482,124.6640625
SRR16996425,-72.3166654,170.2666656,250.914482,250.914482,124.6640625
SRR16996426,-72.3166654,170.2666656,250.914482,250.914482,124.6640625
SRR16996427,-72.3166654,170.2666656,250.914482,250.914482,124.6640625
SRR16996428,-77.213194,166.4456667,414.2794917,414.2794917,-52.7421875
SRR16996429,-77.213194,166.4456667,414.2794917,414.2794917,-52.7421875
SRR16996430,-62.20472222,-59.00083333,130.6257014,130.6257014,40.0546875
SRR16996431,-62.17055556,-58.94361111,1086.499446,1086.499446,65.0390625
SRR16996432,-62.20861111,-58.99444444,429.6468462,429.6468462,76.90625
