"latitude" "longitude"
"51" -70.51775 68.00394444
"52" -73.31452778 68.38944444
"53" -73.43977778 62.12661111
"54" -73.32630556 68.30144444
"55" -70.53358333 67.91883333
"56" -73.33025 68.37563889
"57" -68.6415 78.29643
"58" -73.32772222 68.34438889
"59" -70.52669444 67.87233333
"6" -69.40848 76.00594
"60" -70.51716667 67.92744444
"61" -70.53105556 67.89666667
"62" -73.30908333 68.49072222
"63" -69.40227 76.101
"65" -73.42916667 61.94027778
"66" -73.31772222 68.38125
"67" -68.85427 77.93998
"68" -67.78417 62.78767
"69" -67.76826 62.81809
"71" -70.55933333 67.94705556
"72" -73.33025 68.37563889
"73" -73.43669444 62.09061111
"74" -69.43379 75.99059
"75" -68.50095278 78.08096667
"76" -68.60162 78.34634
"77" -73.44338889 62.15313889
"78" -66.28174 110.53558
"79" -69.40181 76.08656
"80" -69.39013 76.35168
"81" -73.41802778 61.844
"83" -73.31388889 68.37225
"84" -70.84477778 68.0425
"85" -69.3654 76.13505
"86" -69.40444 76.11796
"87" -68.56638889 78.47586111
"89" -68.51286111 78.50838889
"90" -70.51288889 68.02955556
"92" -70.52366667 67.88997222
"93" -69.40918 76.00242
"94" -73.39297222 62.01080556
"95" -68.85815 77.94057
"96" -69.38673 76.37597
"97" -66.2828 110.5337
"98" -70.54608333 67.85827778
"99" -68.51194444 78.51111111
"s102" -71.87780556 -68.24791667
"s103" -71.87780556 -68.24791667
"s105" -71.87780556 -68.24791667
"s10" -63.84461667 -60.9479
"s13" -63.977 -58.64
"s18" -62.97613333 -60.55676667
"s1" -69.3668 -71.84448333
"s23" -64.83651667 -63.51581667
"s30" -67.54298333 -67.19876667
"s31" -67.56878333 -68.11428333
"s58" -64.8943 -63.55296667
"s64" -62.46073333 -59.50931667
"s68" -62.08595 -58.39991667
"s70" -62.6528 -61.09241667
"s83" -63.84496667 -60.95075
"s85" -69.36808333 -71.8443
"s86" -63.96271667 -59.07131667
"s88" -67.59383333 -68.2469
"SRR14233623" -77.60823333 162.9061667
"SRR14233628" -77.61084 162.92882
"SRR14233629" -77.61041 162.92754
"SRR14233634" -77.60776667 162.9107167
"SRR14233640" -77.6074 162.9135667
"SRR14233642" -77.60758333 162.9124167
"SRR14233643" -77.60776667 162.9107167
"SRR14233645" -77.60776667 162.9107167
"SRR14233646" -77.60801667 162.9089833
"SRR14233649" -77.60823333 162.9061667
"SRR14233656" -77.6082 162.9067833
"SRR14233667" -77.6074 162.9135667
"SRR14233673" -77.61202 162.92676
"SRR14233674" -77.61182 162.92778
"SRR14233675" -77.61153 162.9288
"SRR14233676" -77.61126 162.92915
"SRR14233677" -77.61084 162.92882
"SRR14233678" -77.6075 162.9125167
"SRR14233679" -77.61041 162.92754
"SRR14233680" -77.60996 162.92638
"SRR14233681" -77.6099 162.92497
"SRR14233682" -77.605239 162.909325
"SRR14233683" -77.60496 162.908317
"SRR14233684" -77.604706 162.907636
"SRR14233685" -77.604485 162.907084
"SRR14233686" -77.604399 162.906337
"SRR14233687" -77.604092 162.905083
"SRR14233688" -77.60375 162.903961
"SRR14233689" -77.60758333 162.9124167
"SRR14233690" -77.6074 162.9135667
"SRR14233691" -77.6075 162.9125167
"SRR14233692" -77.60758333 162.9124167
"SRR14233693" -77.60776667 162.9107167
"SRR14233694" -77.60791667 162.90975
"SRR14233695" -77.60801667 162.9089833
"SRR14233696" -77.6082 162.9067833
"SRR14233697" -77.60823333 162.9060833
"SRR14233698" -77.60823333 162.9061667
"SRR14233699" -77.6074 162.9135667
"SRR14233700" -77.60801667 162.9089833
"SRR14233701" -77.6075 162.9125167
"SRR14233702" -77.60758333 162.9124167
"SRR14233703" -77.60758333 162.9124167
"SRR14233704" -77.60776667 162.9107167
"SRR14233705" -77.60776667 162.9107167
"SRR14233706" -77.60791667 162.90975
"SRR14233708" -77.60823333 162.9061667
"SRR14233709" -77.6074 162.9135667
"SRR14233710" -77.60823333 162.9061667
"SRR14233711" -77.6082 162.9067833
"SRR14233712" -77.60823333 162.9060833
"ERX1190674" -71.89 -68.26
"ERX1190675" -71.89 -68.26
"ERX1190676" -71.89 -68.26
"ERX1598809" -71.89 -68.26
"ERX1598810" -71.89 -68.26
"B10AL" -64.81 -63.7631
"B1AL" -64.81 -63.7584
"B2AL" -64.8096 -63.7595
"B3AL" -64.8101 -63.7586
"B4AL" -64.8096 -63.7598
"B5AL" -64.8106 -63.7611
"B6AL" -64.8096 -63.7603
"B7AL" -64.8101 -63.7626
"B8AL" -64.8097 -63.7608
"B9AL" -64.8101 -63.7667
"E10AL" -62.6821 -60.86
"E1AL" -62.6808 -60.8589
"E2AL" -62.6817 -60.8612
"E3AL" -62.6811 -60.8594
"E4AL" -62.6818 -60.8609
"E5AL" -62.6811 -60.8597
"E6AL" -62.6822 -60.8604
"E7AL" -62.6819 -60.8597
"E8AL" -62.6819 -60.8605
"E9AL" -62.6831 -60.8575
"N1AL" -62.6695 -60.9105
"N2AL" -62.6694 -60.9107
"N3AL" -62.6697 -60.9111
"N4AL" -62.6696 -60.9113
"N5AL" -62.6701 -60.9127
"N6AL" -62.6701 -60.9128
"P10AL" -62.6453 -60.9785
"P1AL" -62.6464 -60.9661
"P2AL" -62.6463 -60.9662
"P3AL" -62.6464 -60.9676
"P4AL" -62.6463 -60.9677
"P5AL" -62.6465 -60.9691
"P6AL" -62.6464 -60.9691
"P7AL" -62.6466 -60.9712
"P8AL" -62.6465 -60.9712
